window_flank,model,split,true_label,true_label_name,pred_label,pred_label_name,count
200,RNA-FM frozen encoder + MLP,test,2,non_splice,0,donor,25
200,RNA-FM frozen encoder + MLP,test,2,non_splice,1,acceptor,23
200,RNA-FM frozen encoder + MLP,test,2,non_splice,2,non_splice,107
200,RNABERT frozen encoder + MLP,test,0,donor,0,donor,118
200,RNABERT frozen encoder + MLP,test,0,donor,1,acceptor,1
200,RNABERT frozen encoder + MLP,test,0,donor,2,non_splice,10
200,RNABERT frozen encoder + MLP,test,1,acceptor,0,donor,2
200,RNABERT frozen encoder + MLP,test,1,acceptor,1,acceptor,129
200,RNABERT frozen encoder + MLP,test,1,acceptor,2,non_splice,16
200,RNABERT frozen encoder + MLP,test,2,non_splice,0,donor,20
200,RNABERT frozen encoder + MLP,test,2,non_splice,1,acceptor,31
200,RNABERT frozen encoder + MLP,test,2,non_splice,2,non_splice,104
400,CNN baseline (PyTorch Conv1D),test,0,donor,0,donor,121
400,CNN baseline (PyTorch Conv1D),test,0,donor,1,acceptor,3
400,CNN baseline (PyTorch Conv1D),test,0,donor,2,non_splice,5
400,CNN baseline (PyTorch Conv1D),test,1,acceptor,0,donor,1
400,CNN baseline (PyTorch Conv1D),test,1,acceptor,1,acceptor,135
400,CNN baseline (PyTorch Conv1D),test,1,acceptor,2,non_splice,11
400,CNN baseline (PyTorch Conv1D),test,2,non_splice,0,donor,16
400,CNN baseline (PyTorch Conv1D),test,2,non_splice,1,acceptor,42
400,CNN baseline (PyTorch Conv1D),test,2,non_splice,2,non_splice,97
400,RNA-FM frozen encoder + MLP,test,0,donor,0,donor,109
400,RNA-FM frozen encoder + MLP,test,0,donor,1,acceptor,3
400,RNA-FM frozen encoder + MLP,test,0,donor,2,non_splice,17
400,RNA-FM frozen encoder + MLP,test,1,acceptor,0,donor,2
400,RNA-FM frozen encoder + MLP,test,1,acceptor,1,acceptor,119
400,RNA-FM frozen encoder + MLP,test,1,acceptor,2,non_splice,26
400,RNA-FM frozen encoder + MLP,test,2,non_splice,0,donor,17
400,RNA-FM frozen encoder + MLP,test,2,non_splice,1,acceptor,28
400,RNA-FM frozen encoder + MLP,test,2,non_splice,2,non_splice,110
400,RNABERT frozen encoder + MLP,test,0,donor,0,donor,117
400,RNABERT frozen encoder + MLP,test,0,donor,1,acceptor,1
400,RNABERT frozen encoder + MLP,test,0,donor,2,non_splice,11
400,RNABERT frozen encoder + MLP,test,1,acceptor,0,donor,1
400,RNABERT frozen encoder + MLP,test,1,acceptor,1,acceptor,134
400,RNABERT frozen encoder + MLP,test,1,acceptor,2,non_splice,12
400,RNABERT frozen encoder + MLP,test,2,non_splice,0,donor,17
400,RNABERT frozen encoder + MLP,test,2,non_splice,1,acceptor,24
400,RNABERT frozen encoder + MLP,test,2,non_splice,2,non_splice,114
